,realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,loc,type
1378,138.0263867,Entire home/apt,4,True,0,0,10,99,1,1.20123745,0.268770075,295.2112462,11.1306907,335.5392903,25.1943319,23.729,37.966,Athens,weekdays
1379,168.0219342,Entire home/apt,5,False,1,0,10,97,2,4.806713473,0.276902993,35.75945741,1.348280138,52.96745854,3.97711913,23.73462,38.01885,Athens,weekdays
1380,136.8546856,Entire home/apt,2,True,1,0,10,97,1,1.409560625,1.200018437,108.5680858,4.093467978,147.0041595,11.03796691,23.74533,37.9656,Athens,weekdays
1381,142.4788508,Entire home/apt,5,True,0,1,10,97,2,2.17954747,0.312784461,83.33362434,3.142023921,126.3457731,9.486809541,23.724,37.993,Athens,weekdays
1382,62.80317765,Entire home/apt,4,False,0,0,9,96,1,1.783237714,0.847811021,85.17623067,3.211497836,117.8737836,8.850681015,23.74793,37.98819,Athens,weekdays
1383,101.0006327,Entire home/apt,2,False,0,1,10,90,1,2.757681218,1.07905938,71.56216035,2.698190813,109.6512956,8.233286576,23.709,37.989,Athens,weekdays
1384,238.7926792,Entire home/apt,4,True,0,1,9,91,2,0.982905758,0.128255216,385.1668071,14.52238914,640.0966379,48.06235099,23.7243,37.9767,Athens,weekdays
1385,173.8804396,Entire home/apt,3,True,0,1,10,95,1,0.421913047,0.389033082,300.5429003,11.33171621,383.3535788,28.78451966,23.73336,37.97212,Athens,weekdays
1386,173.8804396,Entire home/apt,2,True,0,1,10,97,1,0.540701602,0.516029375,380.7608737,14.35626714,508.9085787,38.21195315,23.73016,37.973,Athens,weekdays
1387,86.94021981,Entire home/apt,2,False,1,0,10,100,1,1.31409196,0.239792267,104.3887658,3.935890246,152.5951023,11.45776892,23.74978,37.97878,Athens,weekdays
1388,90.45532304,Entire home/apt,3,True,0,0,10,100,1,2.074081621,0.404743254,75.5235927,2.847553274,106.366321,7.986630694,23.753,37.988,Athens,weekdays
1389,151.8524594,Entire home/apt,5,False,0,1,9,93,2,1.574975536,0.290470941,165.0049027,6.221370489,196.1505764,14.72817899,23.72862,37.96243,Athens,weekdays
1390,191.4559558,Entire home/apt,2,True,0,1,10,97,1,2.209596888,0.416211859,97.56611394,3.67864792,158.5694035,11.90635582,23.71172,37.98227,Athens,weekdays
1391,135.4486443,Entire home/apt,4,False,0,1,9,90,1,1.974264541,0.624065207,136.0719715,5.130478756,167.8719887,12.60485053,23.71987,37.96271,Athens,weekdays
1392,90.45532304,Entire home/apt,3,True,0,0,10,95,1,2.260815185,0.286082711,78.74159456,2.968885316,116.5079528,8.748126125,23.72887,37.99526,Athens,weekdays
1393,133.3395824,Entire home/apt,3,False,0,1,9,94,1,0.301958746,0.299037798,277.1873227,10.45111388,532.2385469,39.96370913,23.732,37.976,Athens,weekdays
1394,142.4788508,Entire home/apt,4,True,0,1,9,95,1,3.386273134,0.061441777,47.69697138,1.79837402,73.65246046,5.530274957,23.76671,37.99333,Athens,weekdays
1395,45.22766152,Private room,2,True,0,1,10,97,1,2.491471144,0.673726176,67.9344353,2.561410505,105.6380911,7.931950758,23.735,37.998,Athens,weekdays
1396,136.8546856,Entire home/apt,4,True,1,0,10,100,2,1.296385249,0.575509868,134.6560323,5.077091965,201.3060483,15.11528319,23.73368,37.98716,Athens,weekdays
1397,138.9637476,Entire home/apt,4,False,0,1,10,96,1,0.406978576,0.374559948,168.5365447,6.354528068,271.2702582,20.36862185,23.737,37.979,Athens,weekdays
1398,120.4508706,Entire home/apt,2,False,0,1,10,92,1,0.640668678,0.226507244,878.3900795,33.11895604,594.779173,44.65963995,23.72811,37.97584,Athens,weekdays
1399,110.1399011,Entire home/apt,4,True,0,0,10,98,1,1.912540835,0.217710773,126.1225429,4.755343955,206.3166958,15.49151309,23.7139,37.97827,Athens,weekdays
1400,83.42511658,Entire home/apt,2,False,0,1,9,93,1,2.345757326,0.48709647,76.44791871,2.882404206,113.3325708,8.509699122,23.72577,37.99527,Athens,weekdays
1401,114.8267054,Entire home/apt,2,False,0,1,9,91,0,1.061679267,0.407626955,783.5100743,29.54158559,446.6521666,33.53736285,23.728,37.968,Athens,weekdays
1402,150.6807583,Entire home/apt,2,True,1,0,10,98,0,0.386027657,0.368993899,321.0689976,12.10563537,590.0734942,44.30630894,23.73116,37.97463,Athens,weekdays
1403,129.590139,Entire home/apt,4,True,0,1,10,95,1,4.934041764,0.294408552,34.8483463,1.313927464,51.76615829,3.886918196,23.735,38.02,Athens,weekdays
1404,138.0263867,Entire home/apt,4,False,0,1,8,88,1,1.529233923,0.236474109,179.9318922,6.784180023,270.052955,20.27721932,23.718,37.976,Athens,weekdays
1405,81.08171443,Entire home/apt,4,True,0,0,9,96,2,2.192081367,0.405764017,107.4659716,4.051913691,137.50848,10.32497351,23.724,37.958,Athens,weekdays
1406,91.62702411,Private room,4,False,0,0,10,100,1,3.377139495,0.426843198,50.65732899,1.909991804,74.39222172,5.585820734,23.73245,38.00589,Athens,weekdays
1407,164.506831,Entire home/apt,2,False,0,0,6,80,1,0.940201818,0.270947608,124.6030607,4.698053162,223.2445713,16.76256101,23.74542,37.97851,Athens,weekdays
1408,201.7669252,Entire home/apt,6,False,0,1,9,93,2,0.967879067,0.575088388,597.0405172,22.51090843,381.7607498,28.66492037,23.7273,37.96965,Athens,weekdays
1409,622.6419516,Entire home/apt,6,False,1,0,10,98,2,0.560442107,0.532432732,375.0855443,14.14228364,518.7336848,38.9496819,23.73058,37.97225,Athens,weekdays
1410,90.45532304,Entire home/apt,2,False,1,0,10,91,1,1.42268202,0.288926575,126.6098725,4.773718305,204.4052068,15.34798687,23.726,37.986,Athens,weekdays
1411,145.0565932,Entire home/apt,4,False,0,1,10,97,1,1.792624569,0.330826292,114.2647048,4.308254185,204.5902817,15.36188342,23.718,37.984,Athens,weekdays
1412,104.2813957,Entire home/apt,2,False,0,0,10,100,1,0.639201946,0.401244063,145.4672405,5.48471944,267.958627,20.11996443,23.73751,37.98107,Athens,weekdays
1413,197.0801209,Entire home/apt,6,False,1,0,10,100,3,1.960929898,0.384814716,80.57701608,3.038088334,112.341441,8.435279065,23.75447,37.98472,Athens,weekdays
1414,98.65723057,Entire home/apt,4,False,0,0,9,88,2,1.173431832,0.908408947,109.7724581,4.138877815,164.2852905,12.3355394,23.74155,37.98494,Athens,weekdays
1415,260.5863192,Entire home/apt,6,False,0,1,10,98,2,1.792626081,0.330812501,114.2642163,4.308235767,204.5876895,15.36168878,23.718,37.984,Athens,weekdays
1416,162.1634289,Entire home/apt,4,True,0,1,10,97,1,0.703687568,0.300233986,281.958186,10.63099526,587.6436351,44.12386033,23.728,37.978,Athens,weekdays
1417,237.6209781,Entire home/apt,6,False,0,1,10,96,2,1.792625045,0.330818378,114.2644551,4.308244768,204.5888987,15.36177957,23.718,37.984,Athens,weekdays
1418,237.6209781,Entire home/apt,6,False,0,1,10,98,2,1.79262721,0.330840086,114.2648692,4.308260384,204.5917654,15.36199483,23.718,37.984,Athens,weekdays
1419,237.6209781,Entire home/apt,6,False,0,1,10,97,2,1.792617937,0.330815869,114.2649425,4.308263146,204.5903993,15.36189225,23.718,37.984,Athens,weekdays
1420,197.0801209,Entire home/apt,4,True,0,0,10,99,1,1.040590149,0.751055183,194.604003,7.337379568,227.085818,17.05098518,23.73487,37.9662,Athens,weekdays
1421,147.1656551,Entire home/apt,4,False,0,1,9,92,1,1.116506267,0.979685377,129.0107403,4.864240997,183.6538008,13.78984502,23.74369,37.96795,Athens,weekdays
1422,145.0565932,Entire home/apt,6,False,0,0,10,98,2,2.048634868,0.408634163,128.2782743,4.836623988,178.0378718,13.3681669,23.71374,37.96873,Athens,weekdays
1423,208.5627915,Entire home/apt,6,True,1,0,10,100,2,1.292806439,0.170222921,285.5245296,10.76546123,318.1844938,23.89122817,23.727,37.966,Athens,weekdays
1424,324.7955382,Entire home/apt,4,True,0,1,10,99,2,1.306735424,0.450823009,296.9739313,11.19715125,293.5705727,22.04306518,23.724,37.968,Athens,weekdays
1425,92.79872519,Entire home/apt,2,False,0,0,9,93,1,1.42748321,0.857178163,105.7862948,3.988582897,161.6380878,12.13677131,23.73817,37.98823,Athens,weekdays
1426,138.9637476,Entire home/apt,6,False,0,0,10,97,2,1.173307775,0.44833621,227.3856423,8.57338359,258.2572775,19.39152807,23.73156,37.96544,Athens,weekdays
1427,150.6807583,Entire home/apt,5,False,0,1,10,96,2,1.638229968,0.191930861,170.3152152,6.421591338,208.06087,15.62247631,23.72591,37.96286,Athens,weekdays
1428,60.22543529,Private room,2,True,1,0,10,98,1,2.436839237,0.651244696,63.9865302,2.412558077,92.58962522,6.952192533,23.75352,37.99217,Athens,weekdays
1429,192.1589764,Entire home/apt,5,True,1,0,10,99,2,0.78853407,0.33360391,135.6888376,5.116033018,241.4521548,18.12969719,23.74379,37.97806,Athens,weekdays
1430,162.3977691,Entire home/apt,5,True,1,0,10,98,2,3.6043028,0.818655033,46.92440738,1.769245147,69.99372328,5.255554704,23.737,38.008,Athens,weekdays
1431,102.8753544,Entire home/apt,2,True,0,1,10,94,1,1.52641044,0.980662437,96.91562744,3.654121876,143.5351628,10.77749353,23.7403,37.98875,Athens,weekdays
1432,108.9682,Entire home/apt,4,True,0,1,9,95,1,1.426374838,0.503048316,164.9485956,6.219247477,205.6794788,15.44366696,23.732,37.963,Athens,weekdays
1433,265.2731235,Entire home/apt,6,True,0,1,10,98,2,0.981985505,0.481795817,2652.227559,100.0,640.8001116,48.11517208,23.7286,37.96854,Athens,weekdays
1434,168.0219342,Entire home/apt,4,True,0,1,10,98,1,1.004908541,0.4855942,794.4874014,29.95547643,445.8192413,33.47482175,23.72785,37.96876,Athens,weekdays
1435,145.993954,Entire home/apt,2,True,1,0,10,96,1,1.171091526,0.65704536,185.5127297,6.994600785,216.3151407,16.24225718,23.73404,37.96507,Athens,weekdays
1436,159.8200267,Entire home/apt,5,True,1,0,10,96,2,1.45376628,0.277798627,234.0335194,8.824036182,254.5912323,19.11625908,23.72408,37.96601,Athens,weekdays
1437,95.84514799,Entire home/apt,4,False,1,0,9,95,1,1.557785592,0.820881757,94.12078502,3.548744703,129.0974368,9.693421201,23.75069,37.96848,Athens,weekdays
1438,191.2216155,Entire home/apt,4,True,0,1,10,100,1,0.847907567,0.831906497,154.5157606,5.825886248,193.4714683,14.52701525,23.742,37.97,Athens,weekdays
